Colour;Resource;White;Blue;Green;Red;Black;Pink;Points;Crowns;Action
Black;1;1;1;1;1;;;;0;
Grey;0;;;;4;;1;3;0;
White;1;;;;2;2;;;0;Pickup
Red;1;;2;2;;;;;0;Pickup
Green;1;3;;;;2;;1;0;
Red;1;2;;;;2;1;;0;Turn
Blue;1;1;;1;1;1;;;0;
Green;1;1;1;;1;1;;;0;
Red;1;2;3;;;;;1;0;
Blue;1;;;2;2;;1;;0;Turn
Blue;1;;;;2;3;;1;0;
Blue;1;2;;;;2;;;0;Pickup
Blue;1;;;3;;;;;1;
Red;1;1;1;1;;1;;;0;
Multi;1;4;;;;;1;;1;
White;1;;3;;;;;;1;
White;1;;;2;3;;;1;0;
Green;1;;;;2;2;1;;0;Turn
Multi;1;;;;;4;1;1;0;
Green;1;;;;3;;;;1;
Green;1;2;2;;;;;;0;Pickup
White;1;;1;1;1;1;;;0;
Black;1;2;2;;;;1;;0;Turn
Black;1;3;;;;;;;1;
Red;1;;;;;3;;;1;
Multi;1;2;;2;;1;1;1;0;
Black;1;;2;3;;;;1;0;
White;1;;2;2;;;1;;0;Turn
Multi;1;;2;;2;1;1;1;0;
Black;1;;;2;2;0;0;0;0;Pickup
